TRANSACTION_DATE,STORE_NAME,CATEGORY,NUMBER_OF_ITEMS,TOTAL_AMOUNT_SPENT($),FETCH_REWARDS_EARNED,SPECIAL_OFFER_BONUS(Y/N),EXCEPTION
01/15/2022,REMKE MARKETS,GROCERY,9,30.19,25,N,
1/15/22,CVS,GROCERY,2,22.87,25,N,
01/16/2022,APPLEBEE’S,RESTAURANTS,9,72.98,25,N,
01/18/2022,CVS,GROCERY,1,10.91,25,N,
01/25/2022,COSTCO,GROCERY,41,501.94,214,Y,
01/27/2022,SPEEDWAY,GAS,1,49.58,25,N,
01/31/2022,REMKE MARKETS,GROCERY,4,14.72,25,N,
01/31/2022,REMKE MARKETS,GROCERY,42,116.74,63,N,
02/02/2022,SPEEDWAY,GAS,1,15.22,25,N,
02/25/2022,COSTCO,GROCERY,49,500.38,44,N,
02/25/2022,SPEEDWAY,GAS,1,59.48,325,Y,
02/25/2022,BURGER KING,RESTAURANTS,11,41.50,25,N,
02/26/2022,MCDONALD’S,RESTAURANTS,9,22.53,25,N,
03/02/2022,REMKE MARKETS,GROCERY,4,26.56,25,N,
03/02/2022,REMKE MARKETS,GROCERY,4,19.68,25,N,
03/05/2022,THAWNG ASIAN GROCERY,GROCERY,15,47.65,25,N,
03/05/2022,KROGER,GROCERY,57,116.28,25,N,
03/07/2022,CITY BIRD,RESTAURANTS,1,9.87,25,N,
03/07/2022,COLD STONE CREAMERY,RESTAURANTS,1,3.00,25,N,
03/07/2022,STARBUCKS,RESTAURANTS,2,12.40,25,N,
03/07/2022,CARTER’S SUPERMARKET,SHOPPING,3,44.83,25,N,
03/16/2022,SHELL,GAS,1,69.82,25,N,
03/18/2022,REMKE MARKETS,GROCERY,9,30.19,25,N,
03/18/2022,CVS,GROCERY,1,38.99,25,N,
03/18/2022,CVS,GROCERY,2,22.87,25,N,
03/18/2022,FAMILY PRACTICE CENTER,EXPENSES,1,25.00,25,N,
03/18/2022,FAMILY PRACTICE CENTER,EXPENSES,1,25.00,25,N,
04/01/2022,OLIVE GARDEN,RESTAURANTS,9,60.27,325,Y,
04/02/2022,KROGER,GROCERY,45,473.77,236,Y,
04/02/2022,STARBUCKS,RESTAURANTS,1,6.63,25,N,
04/02/2022,DSW,SHOPPING,1,13.77,0,N,OLD
04/22/2022,CVS,GROCERY,2,14.30,25,N,
04/22/2022,CVS,GROCERY,1,6.73,25,N,
04/22/2022,CVS,GROCERY,1,397.24,0,N,MISSING DATA
04/22/2022,KROGER,GROCERY,38,134.49,469,Y,
04/24/2022,COSTCO,GROCERY,4,8.45,25,N,
04/24/2022,COSTCO FUEL,GAS,1,59.56,25,N,
04/30/2022,DOMINO’S PIZZA,RESTAURANTS,6,43.40,25,N,
04/30/2022,THE HOME DEPOT,HOME IMPROVEMENT,1,31.48,25,N,
04/30/2022,THE HOME DEPOT,HOME IMPROVEMENT,2,16.92,25,N,
04/30/2022,SUPER QUIK,GAS,1,2.99,25,N,
05/09/2022,PAY EACH TIME YOU PARK,MISCELLANEOUS ,1,5.00,25,N,
05/10/2022,MAI THAI RESTAURANT SUSHI BAR,RESTAURANTS,1,36.98,25,N,
05/12/2022,THE HOME DEPOT,HOME IMPROVEMENT,1,42.96,25,N,
05/13/2022,THE HOME DEPOT,HOME IMPROVEMENT,1,42.96,25,N,
05/16/2022,CVS,GROCERY,1,31.84,25,N,
05/16/2022,CVS,GROCERY,1,13.24,25,N,
06/02/2022,REMKE MARKETS,GROCERY,26,104.07,35,N,
6/2/2022,COSTCO,GROCERY,41,503.08,0,N,OLD
06/02/2022,THE HOME DEPOT,HOME IMPROVEMENT,4,34.77,25,N,
06/02/2022,VICTORIA’S SECRET,SHOPPING,10,100.70,25,N,
06/02/2022,STEAK ‘N SHAKE,RESTAURANTS,1,11.15,0,N,OLD
06/02/2022,DILLARD’S,SHOPPING,3,52.99,25,N,
06/02/2022,J.CREW,SHOPPING,7,19.07,25,N,
06/02/2022,USPS,MISCELLANEOUS ,2,1.49,625,Y,
06/02/2022,PANERA,RESTAURANTS,5,17.06,25,N,
06/02/2022,MACY’S,SHOPPING,2,19.50,25,N,
06/30/2022,CVS,GROCERY,1,0.31,25,N,
06/30/2022,COSTCO,GROCERY,26,379.11,874,Y,
6/30/22,TRADER JOE’S,GROCERY,17,43.93,0,N,OLD
06/30/2022,THE CHEESECAKE FACTORY,RESTAURANTS,1,41.51,25,N,
07/08/2022,REMKE MARKETS,GROCERY,8,49.62,35,N,
07/08/2022,CVS,GROCERY,4,26.37,25,N,
7/8/2022,CVS,GROCERY,1,0.31,0,N,DUPLICATE
07/08/2022,CVS,GROCERY,1,1.05,25,N,
07/08/2022,CVS,GROCERY,7,30.63,122,N,
07/08/2022,CENTRAL MARKET,GROCERY,27,103.10,35,N,
07/11/2022,REMKE MARKETS,GROCERY,18,74.16,25,N,
07/23/2022,THAWNG ASIAN GROCERY,GROCERY,9,33.61,25,N,
7/23/22,KROGER,GROCERY,32,120.44,0,N,DUPLICATE
07/29/2022,REMKE MARKETS,GROCERY,7,44.10,25,N,
08/06/2022,REMKE MARKETS,GROCERY,2,8.46,25,N,
08/07/2022,REMKE MARKETS,GROCERY,24,85.38,42,N,
